Time (s),Area Above Baseline (mV·s),Group,Trial_ID
51.8,-14.29409363,Opsin,140524_F1_C1_t1
52,-14.31275696,Opsin,140524_F1_C1_t1
52.2,-14.3171402,Opsin,140524_F1_C1_t1
52.4,-14.26859436,Opsin,140524_F1_C1_t1
52.6,-13.38818756,Opsin,140524_F1_C1_t1
52.8,-13.44623474,Opsin,140524_F1_C1_t1
53,-14.08443298,Opsin,140524_F1_C1_t1
53.2,-14.2964682,Opsin,140524_F1_C1_t1
53.4,-14.33636597,Opsin,140524_F1_C1_t1
53.6,-14.31952057,Opsin,140524_F1_C1_t1
53.8,-14.33849274,Opsin,140524_F1_C1_t1
54,-14.34178101,Opsin,140524_F1_C1_t1
54.2,-13.62429138,Opsin,140524_F1_C1_t1
54.4,-13.40871918,Opsin,140524_F1_C1_t1
54.6,-13.97946747,Opsin,140524_F1_C1_t1
54.8,-14.29745911,Opsin,140524_F1_C1_t1
55,-14.31820129,Opsin,140524_F1_C1_t1
55.2,-14.27079102,Opsin,140524_F1_C1_t1
55.4,-14.21237091,Opsin,140524_F1_C1_t1
55.6,-14.11960785,Opsin,140524_F1_C1_t1
55.8,-14.1645343,Opsin,140524_F1_C1_t1
56,-14.17584473,Opsin,140524_F1_C1_t1
56.2,-14.26322845,Opsin,140524_F1_C1_t1
56.4,-13.7466214,Opsin,140524_F1_C1_t1
56.6,-12.94323242,Opsin,140524_F1_C1_t1
56.8,-12.89201813,Opsin,140524_F1_C1_t1
57,-13.90638367,Opsin,140524_F1_C1_t1
57.2,-14.22146759,Opsin,140524_F1_C1_t1
57.4,-14.24840576,Opsin,140524_F1_C1_t1
57.6,-14.2716626,Opsin,140524_F1_C1_t1
57.8,-14.24061798,Opsin,140524_F1_C1_t1
58,-14.17277283,Opsin,140524_F1_C1_t1
58.2,-14.05856567,Opsin,140524_F1_C1_t1
58.4,-14.01418732,Opsin,140524_F1_C1_t1
58.6,-14.08478394,Opsin,140524_F1_C1_t1
58.8,-14.22785522,Opsin,140524_F1_C1_t1
